epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
66,3526.57,1.00733,1.24127,1.11652,0.4902,0.5797,0.52219,0.34033,1.51402,1.89173,1.25453,0.000509438,0.000509438,0.000509438
67,3568.79,1.02949,1.14931,1.06202,0.42628,0.70278,0.51988,0.31278,1.52776,1.88556,1.26614,0.000495291,0.000495291,0.000495291
68,3608.91,0.9691,1.0642,1.02945,0.49001,0.65833,0.51792,0.31131,1.5177,1.92911,1.24496,0.000481144,0.000481144,0.000481144
69,3648.07,0.95308,1.10272,1.0581,0.46506,0.67917,0.52627,0.31553,1.49971,1.95746,1.23659,0.000466997,0.000466997,0.000466997
70,3685.41,1.05081,1.11625,1.0808,0.47879,0.68496,0.52321,0.32835,1.47688,1.92516,1.23861,0.00045285,0.00045285,0.00045285
71,3724.93,0.94444,1.11763,1.06747,0.45311,0.64627,0.51723,0.33602,1.46486,1.9102,1.23712,0.000438703,0.000438703,0.000438703
72,3762.98,1.00644,1.0736,1.0398,0.44216,0.56944,0.49865,0.32019,1.4671,1.93943,1.24072,0.000424556,0.000424556,0.000424556
73,3802.08,1.02553,1.08216,1.08481,0.46144,0.54708,0.50479,0.31982,1.47518,1.96179,1.24766,0.000410409,0.000410409,0.000410409
74,3839.5,0.93422,1.04241,1.07122,0.48652,0.52149,0.5144,0.32789,1.46785,1.93685,1.23501,0.000396262,0.000396262,0.000396262
75,3875.9,0.95852,1.06634,1.05314,0.51626,0.54369,0.51901,0.32729,1.4792,1.95332,1.23672,0.000382115,0.000382115,0.000382115
76,3913.56,0.99099,1.08811,1.04806,0.47397,0.54722,0.5302,0.33039,1.48904,2.00013,1.23428,0.000367967,0.000367967,0.000367967
77,3950.64,0.93541,0.99008,1.04428,0.44885,0.57806,0.50277,0.31842,1.50185,2.01716,1.24303,0.00035382,0.00035382,0.00035382
78,3987.76,0.97524,1.045,1.03287,0.43996,0.61528,0.50589,0.32139,1.52963,1.99385,1.2547,0.000339673,0.000339673,0.000339673
79,4025.04,0.9248,0.99129,1.03512,0.44447,0.66733,0.52862,0.33313,1.5411,1.93884,1.26102,0.000325526,0.000325526,0.000325526
80,4073.65,0.94,1.05276,1.06735,0.43681,0.64539,0.51791,0.32771,1.53945,1.91098,1.25595,0.000311379,0.000311379,0.000311379
81,4127.7,1.02895,1.09642,1.06366,0.49189,0.59514,0.53074,0.33306,1.52511,1.89068,1.25085,0.000297232,0.000297232,0.000297232
82,4171.24,0.98765,1.02022,1.08789,0.54124,0.59063,0.52109,0.3269,1.49837,1.89354,1.2361,0.000283085,0.000283085,0.000283085
83,4222.74,0.92427,0.98848,1.04053,0.51624,0.62328,0.50983,0.32698,1.48067,1.89582,1.22273,0.000268938,0.000268938,0.000268938
84,4265.48,0.93069,1.05331,1.01131,0.50847,0.61389,0.50755,0.32929,1.44521,1.87933,1.21005,0.000254791,0.000254791,0.000254791
85,4303.74,0.89931,1.0264,1.02906,0.48909,0.63159,0.50589,0.3295,1.43725,1.89,1.21272,0.000240644,0.000240644,0.000240644
86,4341.02,0.94,1.04675,1.04437,0.48761,0.63611,0.50703,0.32589,1.41602,1.87652,1.20922,0.000226497,0.000226497,0.000226497
87,4377.95,0.91866,1.00498,1.02055,0.4602,0.65694,0.50504,0.32746,1.40238,1.86048,1.21032,0.000212349,0.000212349,0.000212349
88,4413.42,0.86651,0.94668,1.0166,0.47013,0.60759,0.50599,0.32675,1.39164,1.84664,1.21053,0.000198202,0.000198202,0.000198202
89,4450.84,0.91871,1.00879,1.02912,0.49779,0.57083,0.48908,0.32826,1.39679,1.84974,1.21166,0.000184055,0.000184055,0.000184055
90,4486.89,0.85914,0.9529,1.02023,0.49041,0.57083,0.49385,0.32901,1.40886,1.85896,1.21423,0.000169908,0.000169908,0.000169908
91,4526.22,0.76827,1.00334,0.97192,0.49941,0.57083,0.49605,0.33508,1.40892,1.87013,1.2098,0.000155761,0.000155761,0.000155761
92,4564.57,0.78976,1.00249,1.01416,0.4871,0.57083,0.48982,0.33096,1.4176,1.88132,1.20014,0.000141614,0.000141614,0.000141614
93,4601.97,0.75424,0.96972,0.98396,0.47879,0.57083,0.48668,0.32885,1.4378,1.90625,1.20531,0.000127467,0.000127467,0.000127467
94,4640.07,0.77474,0.9654,1.0079,0.46594,0.57083,0.48301,0.32432,1.45129,1.9322,1.20677,0.00011332,0.00011332,0.00011332
95,4683.05,0.77998,0.94372,0.97138,0.44974,0.54861,0.48401,0.31486,1.4578,1.95234,1.20525,9.91726e-05,9.91726e-05,9.91726e-05
96,4724.67,0.74244,0.93079,0.98691,0.44053,0.54861,0.48193,0.31342,1.45787,1.95637,1.20395,8.50255e-05,8.50255e-05,8.50255e-05
97,4763.79,0.76582,0.95789,0.97832,0.4406,0.54861,0.48952,0.31355,1.45002,1.94552,1.20175,7.08784e-05,7.08784e-05,7.08784e-05
98,4803.37,0.75765,0.91793,0.9751,0.43234,0.54861,0.49166,0.32093,1.43523,1.92881,1.19656,5.67313e-05,5.67313e-05,5.67313e-05
99,4844.38,0.73426,0.90086,0.96074,0.42851,0.54861,0.49655,0.32156,1.42174,1.90956,1.18785,4.25842e-05,4.25842e-05,4.25842e-05
100,4883.5,0.7534,0.90934,0.98175,0.45357,0.56343,0.49981,0.32318,1.40603,1.90406,1.17674,2.84371e-05,2.84371e-05,2.84371e-05
